Date,Open,High,Low,Close,Adj Close,Volume
2023/6/20,42.998001,43.990002,42.674,43.807999,43.794888,451153000
2023/6/21,43.500999,43.615002,42.080002,43.044998,43.032112,551603000
2023/6/22,42.252998,43.425999,42.234001,43.025002,43.012127,417737000
2023/6/23,42.464001,42.808998,42.014999,42.209,42.196365,358140000
2023/6/26,42.460999,42.764,40.099998,40.632,40.619839,594322000
2023/6/27,40.799,41.939999,40.448002,41.875999,41.863464,462175000
2023/6/28,40.66,41.845001,40.518002,41.117001,41.104694,582639000
2023/6/29,41.557999,41.599998,40.599998,40.821999,40.809776,380514000
2023/6/30,41.68,42.549999,41.500999,42.301998,42.289337,501148000
2023/7/3,42.516998,42.897999,42.202,42.412998,42.400307,198209000
2023/7/5,42.134998,43.176998,42.084999,42.317001,42.304337,323618000
2023/7/6,41.844002,42.179001,41.346001,42.103001,42.090401,303582000
2023/7/7,42.321999,43.214001,42.18,42.502998,42.490276,355881000
2023/7/10,42.657001,42.811001,41.648998,42.18,42.167374,353908000
2023/7/11,42.480999,42.757999,42.067001,42.404999,42.392307,298244000
2023/7/12,43.033001,43.935001,42.777,43.902,43.888859,481277000
2023/7/13,44.518002,46.154999,44.492001,45.977001,45.963242,478204000
2023/7/14,46.583,48.088001,45.060001,45.469002,45.455391,772075000
2023/7/17,46.289001,46.495998,45.262001,46.460999,46.447094,510488000
2023/7/18,46.701,47.896,45.734001,47.493999,47.479782,569164000
2023/7/19,47.464001,47.818001,46.742001,47.077,47.062904,427502000
2023/7/20,46.507,47.087002,45.062,45.52,45.506374,537865000
2023/7/21,45.787998,45.866001,44.099998,44.308998,44.295734,963769000
2023/7/24,44.730999,45.109001,44.040001,44.612,44.598652,382516000
2023/7/25,44.941002,46.182999,44.923,45.679001,45.665329,348081000
2023/7/26,46.021,46.053001,44.630001,45.452,45.438396,364237000
2023/7/27,46.519001,47.395,45.75,45.900002,45.886265,455976000
2023/7/28,46.667999,47.027,46.381001,46.75,46.736004,331194000
2023/7/31,46.754002,47.130001,46.506001,46.729,46.715012,251055000
2023/8/1,46.459999,46.900002,46.027,46.507,46.49308,237858000
2023/8/2,45.831001,45.84,43.387001,44.269001,44.255753,530142000
2023/8/3,43.799999,45.118,43.799999,44.514999,44.501678,324176000
2023/8/4,44.985001,45.641998,44.393002,44.68,44.666626,362666000
2023/8/7,45.111,45.540001,44.563,45.417,45.403408,322154000
2023/8/8,44.853001,45.242001,44.056,44.664001,44.650635,353843000
2023/8/9,44.273998,44.312,42.133999,42.554001,42.541264,586449000
2023/8/10,42.16,43.574001,41.834999,42.388,42.375313,492705000
2023/8/11,41.750999,42.018002,40.639,40.855,40.842773,533085000
2023/8/14,40.486,43.799999,40.311001,43.752998,43.739902,690286000
2023/8/15,44.560001,45.268002,43.709999,43.939999,43.926849,676512000
2023/8/16,44.52,44.674999,43.405998,43.486,43.472984,527451000
2023/8/17,43.970001,44.062,43.000999,43.344002,43.331028,452395000
2023/8/18,42.634998,43.577999,41.66,43.299,43.286041,583768000
2023/8/21,44.493999,47.064999,44.222,46.966999,46.952946,692573000
2023/8/22,48.134998,48.187,45.333,45.667999,45.654335,755293000
2023/8/23,45.866001,47.200001,45.208,47.116001,47.101902,779046000
2023/8/24,50.216,50.265999,47.159,47.162998,47.148884,1156044000
2023/8/25,47.012001,47.805,45.023998,46.018002,46.004227,925341000
2023/8/28,46.481998,46.98,44.888,46.834999,46.820984,685192000
2023/8/29,46.666,49.081001,46.390999,48.784,48.769402,701397000
2023/8/30,49.043999,49.926998,48.424999,49.264,49.249252,735206000
2023/8/31,49.380001,49.743999,48.958,49.355,49.340225,528570000
2023/9/1,49.762001,49.799999,48.141998,48.508999,48.494484,463830000
2023/9/5,48.223,48.851002,47.860001,48.548,48.53347,382653000
2023/9/6,48.441002,48.549,46.580002,47.061001,47.050793,468670000
2023/9/7,45.525002,46.344002,45.152,46.241001,46.230965,433330000
2023/9/8,45.942001,46.605999,45.271,45.571999,45.562115,473069000
2023/9/11,46.147999,46.162998,44.312,45.178001,45.168198,473966000
2023/9/12,44.737999,45.673,44.530998,44.869999,44.860264,349256000
2023/9/13,44.599998,45.93,44.502998,45.485001,45.475136,398355000
2023/9/14,45.950001,45.987,45.131001,45.581001,45.571117,370097000
2023/9/15,45.341,45.598999,43.807999,43.900002,43.890476,506831000
2023/9/18,42.748001,44.242001,42,43.966,43.956459,500271000
2023/9/19,43.833,43.966,43.001999,43.52,43.510559,373064000
2023/9/20,43.599998,43.903,42.223,42.238998,42.229839,367108000
2023/9/21,41.583,42.099998,40.98,41.016998,41.008102,450736000
2023/9/22,41.571999,42.115002,41.230999,41.610001,41.600971,479236000
2023/9/25,41.591,42.535999,41.176998,42.222,42.212841,419091000
2023/9/26,42.000999,42.82,41.654999,41.910999,41.901909,402282000
2023/9/27,42.330002,42.872002,41.629002,42.467999,42.458786,444935000
2023/9/28,42.459999,43.445999,42.115002,43.089001,43.079651,424663000
2023/9/29,43.827,44.144001,43.306999,43.499001,43.489563,397830000
2023/10/2,44.029999,45.174999,43.861,44.782001,44.772285,433298000
2023/10/3,44.807999,45.130001,43.245998,43.516998,43.507557,470850000
2023/10/4,43.742001,44.143002,43.292,44.041,44.031445,361821000
2023/10/5,44.049999,44.900002,43.888,44.688,44.678307,393483000
2023/10/6,44.193001,45.789001,44.026001,45.762001,45.752071,434436000
2023/10/9,44.841999,45.605,44.368,45.272999,45.263176,409675000
2023/10/10,45.310001,46.258999,45.088001,45.798,45.788067,368582000
2023/10/11,46.195999,46.859001,46.049999,46.806,46.795841,378137000
2023/10/12,46.777,47.609001,46.330002,46.945,46.934814,481325000
2023/10/13,46.959999,47.116001,45.279999,45.460999,45.451134,474115000
2023/10/16,45.063,46.224998,44.911999,46.095001,46.085003,375099000
2023/10/17,44,44.754002,42.48,43.938,43.928467,812333000
2023/10/18,42.591,43.219002,41.825001,42.195999,42.186844,627294000
2023/10/19,42.811001,43.297001,41.882,42.101002,42.091869,501233000
2023/10/20,41.889999,42.470001,41.077999,41.387001,41.378021,477266000
2023/10/23,41.229,43.248001,40.945,42.974998,42.965679,478530000
2023/10/24,43.077,43.696999,42.691002,43.662998,43.653526,401463000
2023/10/25,43.397999,43.650002,41.555,41.778999,41.769932,398379000
2023/10/26,41.853001,42.256001,39.880001,40.326,40.317253,541001000
2023/10/27,41.130001,41.206001,40.014999,40.5,40.491215,416784000
2023/10/30,41.087002,41.765999,40.480999,41.160999,41.152069,388028000
2023/10/31,40.450001,40.879002,39.23,40.779999,40.771152,517969000
2023/11/1,40.883999,42.381001,40.868999,42.325001,42.315823,437593000
2023/11/2,43.327999,43.883999,42.894001,43.506001,43.496559,409172000
2023/11/3,44.02,45.308998,43.723,45.005001,44.995239,424610000
2023/11/6,45.285,45.935001,44.898998,45.750999,45.741074,400733000
